,year,movie_title,certificate,duration,genre,rate,metascore,votes,gross,user_reviews,critic_reviews,cartoon,number_of_genres
99,2001,A.I. Artificial Intelligence,PG-13,146,Adventure|Drama|Sci-Fi,7.099999900000001,65,245306,78620000,2159,281,False,3
100,2001,Hannibal,R,131,Crime|Drama|Thriller,6.80000019,57,213634,165090000,1365,276,False,3
101,2001,Pearl Harbor,PG-13,183,Action|Drama|History,6.0999999,44,262093,198540000,1998,191,False,3
102,2000,MalЏna,R,109,Comedy|Drama|Romance,7.5,54,68675,3430000,223,86,False,3
103,2000,Road Trip,R,93,Adventure|Comedy,6.5,55,136119,68530000,303,103,False,2
104,2001,Enemy at the Gates,R,131,Drama|History|War,7.599999900000001,53,195763,51400000,664,186,False,3
105,2000,The Taste of Others,R,112,Comedy|Drama|Romance,7.30000019,78,7932,640000,48,55,False,3
106,2002,Gangs of New York,R,167,Crime|Drama,7.5,72,324867,77680000,1184,232,False,2
107,2000,Unbreakable,PG-13,106,Drama|Mystery|Sci-Fi,7.19999981,62,251457,95000000,1356,293,False,3
108,2001,Original Sin,R,116,Drama|Mystery|Romance,6.0,33,45973,16250000,181,91,False,3
109,2000,The Family Man,PG-13,125,Comedy|Drama|Fantasy,6.69999981,42,88458,75760000,324,124,False,3
110,2000,The Gift,R,111,Drama|Fantasy|Horror,6.69999981,62,53408,11990000,331,169,False,3
111,2001,Blow,R,124,Biography|Crime|Drama,7.599999900000001,52,203294,52940000,426,145,False,3
112,2001,Atlantis: The Lost Empire,PG,95,Animation|Action|Adventure,6.80000019,52,75722,84040000,290,146,True,3
113,2000,Bedazzled,PG-13,93,Comedy|Fantasy,6.0,49,83644,37880000,256,124,False,2
114,2001,The Others,PG-13,104,Horror|Mystery|Thriller,7.599999900000001,74,277145,96470000,1114,243,False,3
115,2001,The Fast and the Furious,PG-13,106,Action|Crime|Thriller,6.69999981,58,280110,144510000,994,187,False,3
116,2003,The Matrix Reloaded,R,138,Action|Sci-Fi,7.19999981,62,432102,281490000,2793,272,False,2
117,2000,Divided We Fall,PG-13,117,Comedy|Drama|War,7.80000019,69,4281,1320000,65,48,False,3
118,2002,Equilibrium,R,107,Action|Drama|Sci-Fi,7.5,33,267971,1190000,1148,145,False,3
119,2005,Water,PG-13,117,Drama|Romance,7.80000019,77,12821,3220000,147,90,False,2
120,2001,Ocean's Eleven,PG-13,116,Crime|Thriller,7.80000019,74,415669,183410000,854,183,False,2
121,2001,Serendipity,PG-13,90,Comedy|Romance,6.900000099999999,52,88311,49970000,376,120,False,2
122,2000,Chocolat,PG-13,121,Drama|Romance,7.30000019,64,153911,71310000,500,152,False,2
123,2001,Harry Potter and the Sorcerer's Stone,PG,152,Adventure|Family|Fantasy,7.5,64,469660,317560000,1579,265,False,3
124,2001,Bully,R,108,Biography|Crime|Drama,7.0,45,30016,510000,336,75,False,3
125,2001,The Affair of the Necklace,R,118,Drama|History|Romance,6.0999999,42,4512,430000,61,48,False,3
126,2003,The Matrix Revolutions,R,129,Action|Sci-Fi,6.69999981,47,374138,139260000,2128,244,False,2
127,2001,The Man Who Wasn't There,R,116,Crime|Drama,7.599999900000001,73,88225,7490000,443,195,False,2
128,2001,Bridget Jones's Diary,R,97,Comedy|Drama|Romance,6.69999981,66,180844,71500000,573,174,False,3
129,2001,Wet Hot American Summer,R,97,Comedy|Romance,6.69999981,42,42097,290000,280,71,False,2
130,2001,Zus & zo,Unrated,106,Comedy|Fantasy|Romance,6.4000001,50,1467,0,20,17,False,3
131,2001,Spirited Away,PG,125,Animation|Adventure|Family,8.60000038,94,445337,10050000,920,249,True,3
132,2001,Y Tu Mam‡ TambiЋn,R,106,Adventure|Comedy|Drama,7.69999981,88,94364,13620000,386,175,False,3
133,2001,Thir13en Ghosts,R,91,Horror,5.5,30,66992,41870000,479,150,False,1
134,2000,Amores Perros,R,154,Drama|Thriller,8.10000038,83,180554,5380000,362,157,False,2
135,2002,The Count of Monte Cristo,PG-13,131,Action|Adventure|Drama,7.69999981,61,107817,54230000,548,136,False,3
136,2002,Die Another Day,PG-13,133,Action|Adventure|Thriller,6.0999999,56,173432,160200000,1186,262,False,3
137,2001,Donnie Darko,R,113,Drama|Sci-Fi|Thriller,8.10000038,71,603429,730000,2123,291,False,3
138,2000,Before Night Falls,R,133,Biography|Drama|Romance,7.30000019,85,21219,4220000,132,102,False,3
139,2001,In the Bedroom,R,130,Crime|Drama,7.5,86,32934,35918429,510,178,False,2
140,2001,The Princess Diaries,G,111,Comedy|Family|Romance,6.19999981,52,98072,108240000,306,108,False,3
141,2001,Super Troopers,R,100,Comedy|Crime|Mystery,7.099999900000001,48,77973,18490000,334,98,False,3
142,2001,Ali,R,157,Biography|Drama|Sport,6.80000019,65,81145,58180000,390,174,False,3
143,2000,Billy Elliot,R,110,Drama|Music|Romance,7.69999981,74,101307,21990000,436,151,False,3
144,2001,Legally Blonde,PG-13,96,Comedy|Romance,6.19999981,59,137023,95000000,552,159,False,2
145,2002,Unfaithful,R,124,Drama|Thriller,6.69999981,63,64912,52750000,537,150,False,2
146,2003,How to Lose a Guy in 10 Days,PG-13,116,Comedy|Romance,6.4000001,45,163275,105810000,359,137,False,2
147,2003,House of 1000 Corpses,R,89,Horror,6.0,31,62657,12580000,925,207,False,1
148,2002,Maid in Manhattan,PG-13,105,Comedy|Drama|Romance,5.0999999,45,70125,93820000,242,111,False,3
149,2001,American Pie 2,R,108,Comedy,6.4000001,43,205011,145100000,433,140,False,1
150,2002,The Pianist,R,150,Biography|Drama|War,8.5,85,523908,32519322,772,192,False,3
151,2002,Reign of Fire,PG-13,101,Action|Adventure|Fantasy,6.19999981,39,110053,43060000,571,137,False,3
152,2002,Star Trek: Nemesis,PG-13,116,Action|Adventure|Sci-Fi,6.4000001,51,60394,43120000,846,170,False,3
153,2001,Shallow Hal,PG-13,114,Comedy|Drama|Fantasy,5.9000001,48,111606,70840000,429,108,False,3
154,2002,Sweet Home Alabama,PG-13,108,Comedy|Romance,6.19999981,45,85921,127210000,394,71,False,2
155,2002,Road to Perdition,R,117,Crime|Drama|Thriller,7.69999981,72,205911,104050000,1014,228,False,3
156,2001,Scary Movie 2,R,83,Comedy,5.30000019,29,123011,71280000,551,127,False,1
157,2002,About Schmidt,R,125,Comedy|Drama,7.19999981,85,109795,65010000,615,216,False,2
158,2002,Panic Room,R,112,Crime|Drama|Thriller,6.80000019,65,212089,95310000,857,235,False,3
159,2002,The Quiet American,R,101,Drama|Mystery|Romance,7.099999900000001,84,24349,12990000,200,149,False,3
160,2002,The Bourne Identity,PG-13,119,Action|Mystery|Thriller,7.900000099999999,68,425154,121470000,860,247,False,3
161,2002,My Big Fat Greek Wedding,PG,95,Comedy|Family|Romance,6.599999900000001,62,105047,241440000,760,165,False,3
162,2001,Vanilla Sky,R,136,Fantasy|Mystery|Romance,6.900000099999999,45,211486,100610000,1252,154,False,3
163,2001,Jay and Silent Bob Strike Back,R,104,Comedy,6.900000099999999,51,131114,30060000,866,182,False,1
164,2001,Jeepers Creepers - Es ist angerichtet,R,90,Horror|Mystery,6.0999999,49,90102,37470000,991,190,False,2
165,2002,Catch Me If You Can,PG-13,141,Biography|Crime|Drama,8.0,76,561318,164440000,675,195,False,3
166,2001,Black Hawk Down,R,142,Drama|History|War,7.69999981,74,301185,108640000,1113,200,False,3
167,2004,The Girl Next Door,R,108,Comedy|Drama|Romance,6.80000019,47,174854,14590000,515,125,False,3
168,2002,The Rookie,G,127,Drama|Family|Sport,7.0,72,27092,75600000,174,90,False,3
169,2001,The Royal Tenenbaums,R,110,Comedy|Drama,7.599999900000001,76,216309,52350000,966,224,False,2
170,2003,Finding Nemo,G,100,Animation|Adventure|Comedy,8.10000038,90,727319,380840000,870,302,True,3
171,2003,Kill Bill: Vol. 1,R,111,Action|Crime|Thriller,8.10000038,69,765424,70100000,2123,356,False,3
172,2001,Rush Hour 2,PG-13,90,Action|Comedy|Crime,6.599999900000001,48,164878,226140000,396,128,False,3
173,2001,Spy Game - Der finale Countdown,R,126,Action|Crime|Thriller,7.099999900000001,63,123967,30000,362,141,False,3
174,2002,Scooby-Doo,PG,86,Adventure|Comedy|Family,4.9000001,35,73819,153290000,521,137,False,3
175,2002,Adaptation.,R,114,Comedy|Drama,7.69999981,83,147224,22250000,712,242,False,2
176,2002,Ice Age,PG,81,Animation|Adventure|Comedy,7.599999900000001,60,339723,176390000,468,190,True,3
177,2001,Jimmy Neutron: Boy Genius,G,82,Animation|Action|Adventure,6.0,65,24802,80920000,119,66,True,3
178,2002,The Time Machine,PG-13,96,Sci-Fi|Adventure|Action,5.9000001,42,105871,56680000,622,124,False,3
179,2001,A Beautiful Mind,PG-13,135,Biography|Drama,8.19999981,72,640458,170710000,1181,204,False,2
180,2002,The Hours,PG-13,114,Drama|Romance,7.599999900000001,81,104612,41600000,660,173,False,2
181,2002,Secretary,R,104,Comedy|Drama|Romance,7.099999900000001,63,69732,4050000,394,163,False,3
182,2002,Lilo & Stitch,PG,85,Animation|Adventure|Comedy,7.19999981,73,122802,145770000,368,178,True,3
183,2002,About a Boy,PG-13,101,Comedy|Drama|Romance,7.099999900000001,75,147188,40570000,395,159,False,3
184,2001,I Am Sam,PG-13,132,Drama,7.599999900000001,28,124720,40270000,436,129,False,1
185,2002,The Scorpion King,PG-13,92,Action|Adventure|Fantasy,5.5,45,105396,90340000,435,165,False,3
186,2001,Not Another Teen Movie,R,89,Comedy,5.69999981,32,82255,37880000,395,97,False,1
187,2002,We Were Soldiers,R,138,Action|Drama|History,7.099999900000001,65,106625,78120000,746,144,False,3
188,2002,Insomnia,R,118,Drama|Mystery|Thriller,7.19999981,78,225204,67260000,654,183,False,3
189,2001,Elling,R,89,Comedy|Drama,7.599999900000001,70,12539,310000,97,68,False,2
190,2002,Mr. Deeds,PG-13,96,Comedy|Romance,5.80000019,24,113561,126200000,310,117,False,2
191,2001,Gosford Park,R,133,Comedy|Drama|Mystery,7.30000019,90,66638,41300105,633,186,False,3
192,2001,Iris,R,91,Biography|Drama|Romance,7.099999900000001,76,15104,1290000,145,99,False,3
193,2002,A Walk to Remember,PG,101,Drama|Romance,7.400000099999999,35,167562,41230000,968,79,False,2
194,2002,The Wild Thornberrys Movie,PG,85,Adventure|Animation|Family,5.19999981,69,12435,39880000,33,37,True,3
195,2002,Van Wilder: Party Liaison,R,92,Comedy|Romance,6.4000001,26,90856,21010000,259,95,False,2
196,2001,No Man's Land,R,98,Drama|War,8.0,84,38677,1060000,169,102,False,2
197,2003,Dreamcatcher,R,134,Drama|Horror|Sci-Fi,5.5,35,77434,33690000,665,176,False,3
198,2001,Monster's Ball,R,111,Drama|Romance,7.099999900000001,69,72725,31250000,523,151,False,2
199,2002,Signs,PG-13,106,Drama|Mystery|Sci-Fi,6.69999981,59,278134,227970000,2342,209,False,3
200,2003,The Triplets of Belleville,PG-13,78,Animation|Comedy|Drama,7.80000019,91,43600,7000000,312,168,True,3
201,2002,Bend It Like Beckham,PG-13,112,Comedy|Drama|Romance,6.69999981,66,91631,32540000,438,159,False,3
202,2003,Hulk,PG-13,138,Action|Sci-Fi,5.69999981,54,216818,132120000,1448,265,False,2
203,2002,Talk to Her,R,112,Drama|Mystery|Romance,8.0,86,88643,9284265,255,142,False,3
204,2003,Daredevil,PG-13,103,Action|Crime|Drama,5.30000019,42,179675,430000,1044,277,False,3
205,2003,Zelary,R,150,Romance|Drama,7.69999981,66,2908,330000,33,25,False,2
206,2002,Red Dragon,R,124,Crime|Drama|Thriller,7.19999981,60,208995,92930000,771,210,False,3
207,2004,The Butterfly Effect,R,113,Sci-Fi|Thriller,7.69999981,30,369820,20000,1106,184,False,2
208,2003,X-Men 2,PG-13,134,Action|Adventure|Fantasy,7.5,68,419112,214950000,1061,289,False,3
209,2003,The Recruit,PG-13,115,Action|Drama|Mystery,6.599999900000001,56,115655,52780000,286,155,False,3
210,2001,Son of the Bride,R,123,Comedy|Drama,7.900000099999999,68,12025,620000,66,52,False,2
211,2004,The Phantom of the Opera,PG-13,143,Drama|Musical|Romance,7.30000019,40,98851,51230000,2050,151,False,3
212,2002,The Transporter,PG-13,92,Action|Crime|Thriller,6.80000019,51,243998,25300000,463,169,False,3
213,2005,Rent,PG-13,135,Drama|Musical|Romance,7.0,53,42525,29080000,758,145,False,3
214,2002,Harry Potter and the Chamber of Secrets,PG,161,Adventure|Family|Fantasy,7.400000099999999,63,407624,261970000,863,237,False,3
215,2003,Wrong Turn,R,84,Horror,6.0999999,32,90075,15420000,543,191,False,1
216,2002,xXx,PG-13,124,Action|Adventure|Thriller,5.80000019,48,146847,141200000,742,196,False,3
217,2004,The Chronicles of Riddick,PG-13,119,Action|Adventure|Sci-Fi,6.69999981,38,187967,57640000,667,206,False,3
218,2002,Far from Heaven,PG-13,107,Drama|Romance,7.400000099999999,84,37396,15850000,378,182,False,2
219,2002,The Ring,PG-13,115,Horror|Mystery,7.099999900000001,57,259896,128580000,1628,273,False,2
220,2004,Shrek 2,PG,93,Animation|Adventure|Comedy,7.19999981,75,327973,436470000,483,205,True,3
221,2002,8 Mile,R,110,Drama|Music,7.0,77,194782,116720000,566,119,False,2
222,2002,Whale Rider,PG-13,101,Drama|Family,7.599999900000001,80,34863,20770000,357,149,False,2
223,2003,The Core,PG-13,135,Action|Adventure|Sci-Fi,5.4000001,48,78694,31110000,468,149,False,3
224,2002,In America,PG-13,105,Drama,7.80000019,76,37158,15540000,276,152,False,1
225,2002,Chicago,PG-13,113,Comedy|Crime|Musical,7.19999981,82,176942,170680000,1019,222,False,3
226,2002,Hero,PG-13,99,Action|Adventure|History,7.900000099999999,85,153127,80000,845,283,False,3
227,2002,Blue Crush,PG-13,104,Drama|Romance|Sport,5.5999999,61,26465,40120000,216,69,False,3
228,2002,Dirty Pretty Things,R,97,Crime|Drama|Thriller,7.400000099999999,78,35743,8110000,222,138,False,3
229,2002,The Hot Chick,PG-13,104,Comedy|Fantasy,5.5,29,76618,35020000,205,76,False,2
230,2003,Old School,R,88,Comedy,7.19999981,54,189347,74610000,405,124,False,1
231,2002,Cabin Fever,R,93,Comedy|Horror,5.5999999,56,63726,21160000,773,262,False,2
232,2004,Harry Potter and the Prisoner of Azkaban,PG,142,Adventure|Family|Fantasy,7.80000019,82,402666,249360000,1510,277,False,3
233,2003,American Splendor,R,101,Biography|Comedy|Drama,7.5,90,42755,6000000,226,181,False,3
234,2003,Anger Management,PG-13,106,Comedy,6.19999981,52,174831,133760000,479,128,False,1
235,2004,Shark Tale,PG,90,Animation|Adventure|Comedy,6.0,48,137137,160760000,291,144,True,3
236,2004,Finding Neverland,PG,166,Biography|Drama|Family,7.69999981,67,177622,51676606,634,225,False,3
237,2003,Final Destination 2,R,90,Horror|Thriller,6.19999981,38,124128,46460000,473,174,False,2
238,2003,Identity,R,90,Mystery|Thriller,7.30000019,64,183633,51480000,717,135,False,2
239,2003,A Mighty Wind,PG-13,91,Comedy|Music,7.30000019,81,22841,17510000,272,96,False,2
240,2003,Master and Commander: The Far Side of the World,PG-13,138,Action|Adventure|Drama,7.400000099999999,81,172167,93930000,685,243,False,3
241,2003,Holes,PG,117,Adventure|Comedy|Drama,7.099999900000001,71,60107,67330000,333,105,False,3
242,2003,The League of Extraordinary Gentlemen,PG-13,110,Action|Adventure|Fantasy,5.80000019,30,144395,66460000,787,202,False,3
243,2002,The Man Without a Past,PG-13,97,Comedy|Drama|Romance,7.69999981,84,17945,920000,116,103,False,3
244,2003,Pieces of April,PG-13,80,Comedy|Drama,7.099999900000001,70,18292,2360000,178,130,False,2
245,2005,The Curse of the Were-Rabbit,G,85,Animation|Comedy|Family,7.5,87,101556,56070000,310,210,True,3
246,2003,The Cat in the Hat,PG,82,Adventure|Comedy|Family,3.79999995,19,37236,100450000,460,109,False,3
247,2002,El crimen del padre Amaro,R,118,Drama|Romance,6.80000019,60,11281,5710000,111,84,False,2
248,2003,Love Actually,R,135,Comedy|Drama|Romance,7.69999981,55,333993,59370000,1014,221,False,3
249,2003,Tears of the Sun,R,121,Action|Drama|Thriller,6.599999900000001,48,96087,43430000,396,89,False,3
250,2003,Bruce Almighty,PG-13,101,Comedy|Drama|Fantasy,6.69999981,46,306653,242590000,607,187,False,3
251,2003,21 Grams,R,124,Drama,7.69999981,70,194344,16250000,562,192,False,1
252,2003,House of Sand and Fog,R,126,Drama,7.599999900000001,71,57629,13010000,474,158,False,1
253,2003,Peter Pan,PG,113,Adventure|Family|Fantasy,6.900000099999999,64,55577,48420000,483,161,False,3
254,2004,Spider-Man 2,PG-13,127,Action|Adventure,7.30000019,83,427065,373380000,1309,294,False,2
255,2004,Bridget Jones: The Edge of Reason,R,108,Comedy|Drama|Romance,5.9000001,44,80876,40200000,262,146,False,3
256,2006,Cars,G,117,Animation|Adventure|Comedy,7.19999981,73,275340,244050000,588,253,True,3
257,2002,City of God,R,130,Crime|Drama,8.69999981,79,556231,7560000,785,215,False,2
